E-Number,Name,Alternative Name,Function,Status,Source,Health Info,Uses,Link
E-number: 154, Brown FKAlternative Names :Kipper Brown; Food Brown.Function: ColouringStatus:HalaalSource: mixture of synthetic dyes.,"Uses:Kippers, smoked and cured fish, cooked ham, potato chips",,Halaal,mixture of synthetic dyes.,"Health Code: Red++Asthma, allergic reactions, hives, may affect heart, kidneys, liver, thyroid, aspirin sensitive people may wish to avoid, NRC","Kippers, smoked and cured fish, cooked ham, potato chips",https://sanha.org.za/2009/12/16/e154-brown-fk/
E-number: 155, Brown HTAlternative Names :C.I. 20285; Chocolate Brown HTFunction: ColouringStatus:HalaalSource: mixture of synthetic dyes.,"Uses:Chocolate cake mix, chocolate biscuits",,Halaal,mixture of synthetic dyes.,"Health Code: Red++Asthma, allergic reactions, hives, may affect heart, kidneys, NRC, aspirin sensitive people may wish to avoid, NRC","Chocolate cake mix, chocolate biscuits",https://sanha.org.za/2009/12/16/e155-brown-ht/
E-number: 160(a), Beta-CaroteneAlternative Names :Carotaben; Provatene; Solatene.Function: ColouringStatus:HalaalSource: Carrots.,"Uses:Margarine, dairy blend, reduced fat spread, cakes, jams, cheeseOther Uses: Cosmetics, animal feed, cigarettes",,Halaal,Carrots.,Health Code: Greensafe in food use at low levels,"Margarine, dairy blend, reduced fat spread, cakes, jams, cheeseOther",https://sanha.org.za/2009/12/16/e160a-carotene/
E-number: 160(b), AnnattoAlternative Names :Bixin; Norbixin; C.I. 75120; Orlean; Rocou.Function: ColouringStatus:HalaalSource: vegetable dye.,"Uses:Margarine, baked goods, reduced fat spreads, dairy products, breakfast cerealsOther Uses: Fabric dye, soap, varnish, body paints",,Halaal,vegetable dye.,"Health Code: RedAnatto may cause irritability and head banging in children, hives, hypotension, pruritis, bixin and norbixin, under-going toxicity testing","Margarine, baked goods, reduced fat spreads, dairy products, breakfast cerealsOther",https://sanha.org.za/2009/12/16/e160b-annatto/
E-number: 160(c), CapsanthinAlternative Names :Capsorubin; Paprika extract; OleoresinFunction: ColouringStatus:HalaalSource: red pepper,"Uses:Cheese slices, chicken pies, condiments, soupOther Uses: Poultry feed",,Halaal,red pepper,"Health Code: Greensafe in food use, may have beneficial effects","Cheese slices, chicken pies, condiments, soupOther",https://sanha.org.za/2009/12/16/e160c-capsanthin/
E-number: 160(d), LycopeneAlternative Names :C.I. 75125Function: ColouringStatus:HalaalSource: tomato extract.,"Uses:Nutritional bars, soups, yoghurt, beverages",,Halaal,tomato extract.,"Health Code: Greensafe in food use, may have beneficial effects on body","Nutritional bars, soups, yoghurt, beverages",https://sanha.org.za/2009/12/16/e160d-lycopene/
E-number: 160(e), beta-apo-8-carotenalAlternative Names :C30; beta-8-apocarotenalFunction: ColouringStatus:HalaalSource: synthetic chemical.,"Uses:Cream cheese spread, cheese slices, processed cheese",,Halaal,synthetic chemical.,Health Code: Greensafe in food use,"Cream cheese spread, cheese slices, processed cheese",https://sanha.org.za/2009/12/16/e160e-beta-apo-8-carotenal/
E-number: 160(f), beta apo-8-carotenoic acid ethyl esterAlternative Names :N/AFunction: ColouringStatus:HalaalSource: synthetic chemical.,Uses:Processed foods,,Halaal,synthetic chemical.,Health Code: Greensafe in food use,Processed foods,https://sanha.org.za/2009/12/16/e160f-beta-apo-8-carotenoic-acid-ethyl-ester/
E-number: 161(a), FlavoxanthinAlternative Names :C.I. 75135Function:Status:HalaalSource: Source: extracted from food; check if it contains oils & fats.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e161a-flavoxanthin/
E-number: 161(b)," LuteinAlternative Names :Xanthophyll; C.I. 75135; vegetable luteol; beta-eta-carotene-3,3-diolFunction: ColouringStatus:HalaalSource: egg yolk; nettles; algae; & petals of yellow flowers.",Uses:Processed foodsOther Uses: Animal and poultry feed,,Halaal,egg yolk; nettles; algae; & petals of yellow flowers.,Health Code: Greensafe in food use at low levels,Processed foodsOther,https://sanha.org.za/2009/12/16/e161b-lutein/
E-number: 161(c), CryptoxanthinAlternative Names :C.I. 75135; cryptoxanthol; caricaxanthin; hydroxy-beta-carotene; beta-carotene-3-ol.Function: ColouringStatus:HalaalSource: petals & berries.,"Uses:Cheese slices, chicken pies, condiments, soupOther Uses: Poultry feed",,Halaal,petals & berries.,"Health Code: Greensafe in food use, may have beneficial effects","Cheese slices, chicken pies, condiments, soupOther",https://sanha.org.za/2009/12/16/e161c-cryptoxanthin/
E-number: 161(d), RubixanthinAlternative Names :C.I. 75135;Function:Status:HalaalSource: Source: hipberries & flowers.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e161d-rubixanthin/
E-number: 161(e), ViolaxanthinAlternative Names :Violoxanthin; zeanthin diepoxide; C.I. 75315.Function:Status:HalaalSource: Source: yellow pansies.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e161e-violaxanthin/
E-number: 161(f), RhodoxanthinAlternative Names :C.I. 75135Function:Status:HalaalSource: Source: yew seeds.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e161f-rhodoxanthin/
E-number: 161h," ZeaxanthinAlternative Names :Zeaxanthol; anchovyxanthin; ß,ß-carotene-3,3'-diol.Function:Status:HalaalSource: Source: vegatable and mainly Marigold flowers.",,,Halaal,,,,https://sanha.org.za/2009/12/16/e161h-zeaxanthin/
E-number: 161i, CitranaxanthinAlternative Names :N/AFunction:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e161i-citranaxanthin/
E-number: 161j, AstaxanthinAlternative Names :Ovoester; astaxanthine.Function:Status:HalaalSource: Source: microalgae.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e161j-astaxanthin/
E-number: 162, Beetroot RedAlternative Names :Betanin; BetanidinFunction: ColouringStatus:HalaalSource: Beetroot extract,"Uses:Desserts, jellies, jams, liquorice, sweetsOther Uses: Cosmetics",,Halaal,Beetroot extract,"Health Code: Greensafe in food use, contains nitrates so NRC","Desserts, jellies, jams, liquorice, sweetsOther",https://sanha.org.za/2009/12/16/e162-beetroot-red/
E-number: 163, AnthocyaninsAlternative Names :Schultz 1394; Schultz 1400.Function: ColouringStatus:HalaalSource: grape skin; red cabbage.,"Uses:Soft drinks, jams, ice cream, wines, yoghurt, sweets, preservesOther Uses: Vitamin tablets",,Halaal,grape skin; red cabbage.,"Health Code: Greensafe in food use, considered to have protective effects in the body","Soft drinks, jams, ice cream, wines, yoghurt, sweets, preservesOther",https://sanha.org.za/2009/12/16/e163-anthocyanins/
