Serial Number,Establishments with Certified Products,Certified Products,Category,Certificate Number,Date of Issue,Date of Expiry,Remark
序號,認 證 廠 商,認 證 產 品 Certified,產品分類,證書字號,發證日,效期至,備註
1,"Prince Pharmaceutical Co., Ltd. 王子製藥股份有限公司","Avance GLO Caps (0.6g/ capsule, 60 capsules/ bottle), Kumuya Glow
Collagen + Vitamin C (5.15 g/ sachets, 30 sachets /box).（Total 2 Items）
Avance穀胱綜
合素膠囊狀食品 (0.6克/顆，60顆/瓶)、無中文品名 (5.15克/包，30包/
盒)（共二項產品）",Healthy Food,AP00707010524,2024/05/10,2026/05/09,(續)
2,Grape King Bio Ltd. 葡萄王生技股份有限公司,"Functional Food series, Semi-Finished Products series.（Total 7 Items）保
健食
品系列、半成品系列（共七項產品）",Healthy Food,AP01502010824,2024/08/28,2026/08/27,(續)
3,"TCI Co., Ltd. 大江生醫股份有限公司","Me laleuca® Triple Up Mix Apple Juice Collagen Drink Blend (60ml/bottle,
10
bottle/ box)（Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP02003010624,2024/06/15,2026/06/14,(續)
4,"TCI Co., Ltd. 大江生醫股份有限公司",Dietary Supplement series（Total 3 Items）保健食品系列（共三項產品）,Healthy Food,AP02006010624,2024/06/11,2026/06/10,(續)
5,"TCI Co., Ltd. 大江生醫股份有限公司","Nn Collagen Plus Liquid Formula (50ml/ bottle, 10 bottles /box)（Total 1
Item）
無中文名稱（共一項產品）",Healthy Food,AP02007010924,2024/09/27,2026/09/26,(續)
6,"TCI Co., Ltd. 大江生醫股份有限公司","Mela leuca Sei Bella Pure Essence Whitening Multi-Berries Drink (50ml
X10
bottles/Box)（Total 1 Item）無中文名稱（共一項產品）",Healthy Food,AP02008010324,2024/03/07,2026/03/06,(續)
7,"TCI Co., Ltd. 大江生醫股份有限公司","MRT Celjoy Go CAPSULE (2 vegetable capsules X30 sachets)（Total 1 Item
）
無中文品名（共一項產品）",Healthy Food,AP02009010324,2024/03/07,2026/03/06,(續)
8,"TCI Co., Ltd. 大江生醫股份有限公司","Korde l’s La Beauté® collagen 8000 (50ml/bottle, 10 bottles/box) (Total 1
Item)
無中文品名 (共一項產品)",Healthy Food,AP02011010823,2023/08/29,2025/08/28,(續)
9,"TCI Co., Ltd. 大江生醫股份有限公司","Blackmores Collagen 10,000mg High Strength (60 ml/bottle, 10 bottles/box)
（
Total 1 Item）無中文名稱（共一項產品）",Healthy Food,AP02014010125,2025/01/09,2027/01/08,(續)
10,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca MelaUp 1000 (50ml X10bottles/Box)（Total 1 Item）無中文品
名（共一項產品）",Healthy Food,AP02016010524,2024/05/04,2026/05/03,(續)
11,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Food series（Total 6 Items）保健食品系列（共六項產品）,Healthy Food,AP02026010924,2024/09/14,2026/09/13,(續)
12,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu COF (6g×30 Sachets/Box)（Total 1 Item）無中文名稱（共一
項產品）",Healthy Food,AP02027010924,2024/09/14,2026/09/13,(續)
13,"TCI Co., Ltd. 大江生醫股份有限公司","S.O.D MORE Dietary Supplement Product (Nutrinal Brand) (600
ml/bottle/Box,
15ml/Sachets, 15 Sachets/Box)（Total 1 Item）無中文品名（共一項產品
）",Healthy Food,AP02029010324,2024/03/24,2026/03/23,(續)
14,"TCI Co., Ltd. 大江生醫股份有限公司","Aviance Collagen Matrix™ (6g X 15 sachets/Box)（Total 1 Item）無中文
名稱
（共一項產品）",Healthy Food,AP02030010124,2024/01/20,2026/01/19,(續)
15,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca TriplexJuice (750ml/bottle/box), TriplexJuice (28 ml/Sachets, 15
Sachets/Box).（Total 2 Items）無中文品名、無中文品名（共二項產品）",Healthy Food,AP02031010124,2024/01/20,2026/01/19,(續)
16,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu M arineGem Collagen TYPE 1 & 3 (180 g /Bag/Box
(Singapore)),
Kinohimitsu MarineGem Collagen TYPE 1 & 3 (180 g /Bag (Malaysia)),
Kinohimitsu Stem Gold+ (180 g /Bag).（Total 3 Items）無中文品名、無
中文
品名、無中文品名（共三項產品）",Healthy Food,AP02032010324,2024/03/24,2026/03/23,(續)
17,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu Detox Enzyme (14g × 30 sachets/Box), Kinohimitsu Phytox
(14g × 14 sachets/Box) (Total 2 Items) 無中文品名、Kinohimitsu 快通酵
素(14g × 14 sachets/Box) (共二項產品)",Healthy Food,AP02033010823,2023/08/08,2025/08/07,(續)
18,"TCI Co., Ltd. 大江生醫股份有限公司","VitaHealth® Charge-Up™ Liveli (50ml/bottle, 10 bottles/box)（Total 1
Item）
無中文名稱（共一項產品）",Healthy Food,AP02037010824,2024/08/08,2026/08/07,(續)
19,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Foods series (Total 9 Items) 機能性食品系列(共九項產品),Healthy Food,AP02040010523,2023/05/31,2025/05/30,(續)
20,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Foods series (Total 13 Items) 機能性食品系列(共十三項產品),Healthy Food,AP02041010523,2023/05/31,2025/05/30,(續)
21,"TCI Co., Ltd. 大江生醫股份有限公司","AVALON® BEAUTY STEMCELL BEAUTY DRINK (50ml/bottle, 10
bottles/box), Vita Realm® BEAUTY SKIN PERFECTING ESSENCE
(50ml/bottle, 8 bottles/box)（Total 2 Items）無中文品名、無中文品名（
共二項產品）",Healthy Food,AP02044010324,2024/03/29,2026/03/28,(續)
22,"TCI Co., Ltd. 大江生醫股份有限公司","Liquid Raw Material series（Total 187 Items）液態原料系列（共一百八
十七項產品）",Healthy Food,AP02050010125,2025/01/21,2026/01/20,(續)
23,"TCI Co., Ltd. 大江生醫股份有限公司","Powdered Raw Material series（Total 161 Items）粉劑原料系列（共一百
六
十一項產品）",Healthy Food,AP02051010125,2025/01/21,2026/01/20,(續)
24,"TCI Co., Ltd. 大江生醫股份有限公司","Microbial Raw Materials series（Total 147 Items）微生物原料系列（共一
百
四十七項產品）",Healthy Food,AP02052010325,2025/03/18,2026/03/17,(續)
25,"TCI Co., Ltd. 大江生醫股份有限公司","BEYONDE™ ROXBURGHII PLUS+ (BOTANICAL BEVERAGE MIX
ROSA ROXBURGHII WITH SEA BUCKTHORN, NONI, APRICOT AND
POME GRANATE) (LIQUID) (750 ml/bottle, 2 bottles/box), Roxburghii
Plus+
Multi Fru its Concentrate Rosa Roxburghii Extract, Sea Buckthorn Fruit
Extract,
Noni Juice Concentrate, Apricot Juice Concentrate and Pomegranate Juice
Concentrate Liquid Dietary Supplement Product (beyonde TM) (750
ml/bottle, 2
bottles/box).（Total 2 Items）無中文品名、無中文品名（共二項產品）",Healthy Food,AP02054010125,2025/01/21,2027/01/20,(續)
26,"TCI Co., Ltd. 大江生醫股份有限公司","Power life Occufocus (10ml×15 sachets/box, 10ml×7 sachets/box) (Total 1
Item)
無中文品名(共一項產品)",Healthy Food,AP02062010723,2023/07/27,2025/07/26,(續)
27,"TCI Co., Ltd. 大江生醫股份有限公司","BLOOM by Young Living: Collagen Complete (50 ml/bottle, 10
bottles/box)
(Total 1 Item) 無中文品名(共一項產品)",Healthy Food,AP02066010823,2023/08/29,2025/08/28,(續)
28,"TCI Co., Ltd. 大江生醫股份有限公司","BLACKMORES® Ultra Body Shaper (30 tablets/box (Singapore version),
30 tablets/Bottle (Malaysia version), 30tablets/Box (Hong Kong version)),
BLACKMORES® Meta Pro Advance (30 tablets/box), BLACKMORES®
Ultra Meta Boost (30 tablets/box)（Total 3 Items）無中文品名、無中文品
名、澳
佳寶® 輕纖非洲芒果籽(30 tablets/box)（共三項產品）",Healthy Food,AP02067010324,2024/03/24,2026/03/23,(續)
29,"TCI Co., Ltd. 大江生醫股份有限公司","BLACKMORES® Power Up™ (30 tablets/box)（Total 1 Item）無中文名
稱（共一項產品）",Healthy Food,AP02069010624,2024/06/22,2026/06/21,(續)
30,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca Activate C (4g /sachets X 20 sachets/Box), Melaleuca Jujube
Longan Drink (10g /sachetsX 15 sachets/Box).（Total 2 Items）無中文名
稱、無中文
名稱（共二項產品）",Healthy Food,AP02070010724,2024/07/06,2026/07/05,(續)
31,"TCI Co., Ltd. 大江生醫股份有限公司","AT OMY SKINBET COLLAGEN DRINK (30 ml/bottle, 8 bottles/box) (Total
1
Item)艾多美 美妍膠原飲(30 ml/bottle, 8 bottles/box) (共一項產品)",Healthy Food,AP02071011123,2023/11/02,2025/11/01,(續)
32,"TCI Co., Ltd. 大江生醫股份有限公司","AVON LI FE™G-D’TOX FIBER (Botanical Beverage Mix Cabbage,
Spinach,
Spirulina, Broccoli Sprout, Green Tea and Celery) (13g /sachet, 10
sachets/Box), AVON LIFE™ -Milk Tea (Milk Tea with Galangal Extract,
Cinnamon, Ginger and Piperine) (13g /sachet, 10 sachets/Box), AVON
LIFE™ - Mixed Soy with Soy P rotein, Whey Protein, Acai Ferment, Soy
Peptide and Oat (25g /sachet, 5
sachets/Box) (Total 3 Items) 無中文品名、無中文品名、無中文品名(共
三項產品)",Healthy Food,AP02072011123,2023/11/02,2025/11/01,(續)
33,"TCI Co., Ltd. 大江生醫股份有限公司","Kinohimitsu 雙蔘 (10g /sachets, 10 sachets/Box)、Kinohimitsu 雙蔘
(10g/sachet, 7sachets/box)（共二項產品）Kinohimitsu Ginsence (10g
/sachets,
10 sachets/Bo x), Kinohitmisu Ginsence Double Ginseng Extracts
(10g/sachet,
7sachets/box).（Total 2 Items）",Healthy Food,AP02074010225,2025/02/14,2027/02/13,(續)
34,"TCI Co., Ltd. 大江生醫股份有限公司","MELIL EA LU-MUNITY Botanical Beverage Mix Pear Unripe Fruit with
Jujube
& Honeysuckle (8g /sachets, 20 sachets/Box)（Total 1 Item）無中文品名
(8g /sachets, 20 sachets/Box)",Healthy Food,AP02077010225,2025/02/14,2027/02/13,(續)
35,"TCI Co., Ltd. 大江生醫股份有限公司","VitaHealth VLIFE IMUNEE (15 ml /sachets, 15 sachets/Box), VitaHealth
VLIFE B- CALM (15 ml /sachets, 15 sachets/Box), VitaHealth VLIFE
POWERR
(15 ml /sachets, 15 sachets/Box) (Total 3 Items) 無中文品名、無中文品名
、無
中文品名(共三項產品)",Healthy Food,AP02078010823,2023/08/29,2025/08/28,(續)
36,"TCI Co., Ltd. 大江生醫股份有限公司","WonderDewi GudGut Campuran Minuman Botani Serbuk Anggur Hitam &
Probiotik (3g X 20 sachets/box)（Total 1 Item）無中文品名（共一項產品
）",Healthy Food,AP02079010224,2024/02/13,2026/02/12,(續)
37,"TCI Co., Ltd. 大江生醫股份有限公司","Elken Elfa-M (15ml /sachet, 15 sachets/Box)（Total 1 Item）無中文品名（
共一項產品）",Healthy Food,AP02080010224,2024/02/13,2026/02/12,(續)
38,"TCI Co., Ltd. 大江生醫股份有限公司","Good Lady COLLA-GEM (50 ml/bottle, 8 bottles/box)（Total 1 Item）無中
文
品名（共一項產品）",Healthy Food,AP02081010124,2024/01/16,2026/01/15,(續)
39,"TCI Co., Ltd. 大江生醫股份有限公司","Good Lady COLLA-GEM (50 ml/bottle, 8 bottles/box) (Total 1 Item) 無中
文品名(共一項產品)",Healthy Food,AP02082010124,2024/01/16,2026/01/15,(續)
40,"TCI Co., Ltd. 大江生醫股份有限公司","PRIMANEST VITA DEEP DEFINE (DIETARY SUPPLEMENT
PRODUCT)
(0.545g/capsule, 30 capsules/Bottle/Box)（Total 1 Item）無中文品名（共
一項產品）",Healthy Food,AP02083010224,2024/02/13,2026/02/12,(續)
41,"TCI Co., Ltd. 大江生醫股份有限公司","PRIMANEST VITA ImuNa 10 (Dietary Supplement Product) (4g X 10
sachets/box)（Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP02084010624,2024/06/05,2026/06/04,(續)
42,"TCI Co., Ltd. 大江生醫股份有限公司","S.GEN MAXI COLLAGEN (PREMIUM MARINE COLLGAEN DRINK)
(25ml /sachet, 15 sachets/Box)（Total 1 Item）無中文品名（共一項產品
）",Healthy Food,AP02085010624,2024/06/05,2026/06/04,(續)
43,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca-RestEZ™ (28ml /sachet, 15 sachets/Box)（Total 1 Item）無中文
品
名（共一項產品）",Healthy Food,AP02086010624,2024/06/05,2026/06/04,(續)
44,"TCI Co., Ltd. 大江生醫股份有限公司","Oriyen Lu-mune CHA Botanical beverage Mix (15ml /sachet, 15
sachets/Box)（ Total 1 Item）Oriyen 經典草本植物清涼飲品 (15ml
/sachet, 15 sachets/Box)（共一項產品）",Healthy Food,AP02087010624,2024/06/05,2026/06/04,(續)
45,"TCI Co., Ltd. 大江生醫股份有限公司","Nutrilite Mixed FOS with Grape Ferment (5gram x 30 sachets/box)（Total 1
Item）無中文品名（共一項產品）",Healthy Food,AP02088010624,2024/06/05,2026/06/04,(續)
46,"TCI Co., Ltd. 大江生醫股份有限公司","PRIMAN EST VITA Multi Collagen Biotin & Zinc (Dietary Supplement
Product)
(8g X 10 sachets/box)（Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP02089010824,2024/08/09,2026/08/08,(續)
47,"TCI Co., Ltd. 大江生醫股份有限公司","WonderD ewi GudGlow Campuran Minuman Peptida Kolagen dengan
Roselle
Putih (25 ml /sachet, 15 sachets/Box)（Total 1 Item）無中文品名（共一項
產品）",Healthy Food,AP02090010824,2024/08/09,2026/08/08,(續)
48,"TCI Co., Ltd. 大江生醫股份有限公司","n by Nutrilite™ n* Pinkombu (5g /sachet, 15 sachets/Box)（Total 1 Item）
無中
文品名（共一項產品）",Healthy Food,AP02091010824,2024/08/09,2026/08/08,(續)
49,"TCI Co., Ltd. 大江生醫股份有限公司","Peach Drink (25 ml /sachet, 10 sachets/Box)（Total 1 Item）名絢美巨峰飲
(25 ml /sachet, 10 sachets/Box)",Healthy Food,AP02092010824,2024/08/09,2026/08/08,(續)
50,"TCI Co., Ltd. 大江生醫股份有限公司","Asil i™ Collagen-HE+ (8g /sachet, 15 sachets/Box), Asili™ Collagen-HE+
(8g
/sachet, 15 sachets/Box).（Total 2 Items）sili™ 極潤原 COLLAGEN-HE+
(8g
/sachet, 15 sachets/Box)、Asili™ 极润原 COLLAGEN-HE+ (8g /sachet, 15
sachets/Box)（共二項產品）",Healthy Food,AP02093010824,2024/08/09,2026/08/08,(續)
51,"TCI Co., Ltd. 大江生醫股份有限公司","GreenLife® Re-Gen Hydra Collagen (50ml/Bottle, 10 Bottles/Box),
GreenLife®
FLUSH! (25ml/Sachet, 10 Sachets/Box), GreenLife® SNOOZE
(25ml/Sachet, 10 Sachets/Box).（Total 3 Items）無中文品名 (50ml/Bottle,
10 Bottles/Box)、無中文品名 (25ml/Sachet, 10 Sachets/Box)、無中文品名
(25ml/Sachet, 10 Sachets/Box)（共三項產品）",Healthy Food,AP02094010824,2024/08/09,2026/08/08,(續)
52,"TCI Co., Ltd. 大江生醫股份有限公司","SYNER GY Botanical Beverage Mulberry with Collagen (Mixed Berry
Flavor)
(25ml/Sachet, 15 Sachets/Box)（Total 1 Item）無中文品名（共一項產品
）",Healthy Food,AP02095010824,2024/08/09,2026/08/08,(續)
53,"TCI Co., Ltd. 大江生醫股份有限公司","Nutrinal™ Sweet night Dietary Supplement Product (15ml/Sachet, 15
Sachets/Box)（Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP02096010824,2024/08/09,2026/08/08,(續)
54,"TCI Co., Ltd. 大江生醫股份有限公司","Coral Club – Metastick (15ml/Sachet, 20 Sachets/Box)（Total 1 Item）無中
文
名稱（共一項產品）",Healthy Food,AP02097010125,2025/01/02,2027/01/01,(續)
55,"TCI Co., Ltd. 大江生醫股份有限公司","D Romerez Plus (Dietary Supplement) (25ml/Sachet, 10 Sachets/Box)（
Total 1
Item）無中文名稱（共一項產品）",Healthy Food,AP02098010125,2025/01/10,2027/01/09,(續)
56,"TCI Co., Ltd. 大江生醫股份有限公司","NN Hibernite (3.5g/Sachet, 15 Sachets/Box), NN Liqalsium (15 ml/Sachet,
15
Sachets/Box)（Total 2 Items）無中文品名、無中文品名（共二項產品）",Healthy Food,AP020A0010125,2025/01/10,2027/01/09,(續)
57,"TCI Co., Ltd. 大江生醫股份有限公司","Exebrain ELG Maitake Botanical Beverage Mix (50ml/Bottle, 10 Bottles/Box)
（
Total 1 Item）易思腦液立佳ELG舞茸印加果飲 (50ml/Bottle, 10
Bottles/Box)
（共一項產品）",Healthy Food,AP020A1010125,2025/01/02,2027/01/01,(續)
58,"TCI Co., Ltd. 大江生醫股份有限公司","BioteQvitality Harmony+ (30 ml/Bottle, 56 Bottles/Ctn)（Total 1 Item）無
中文品名 (30 ml/Bottle, 56 Bottles/Ctn)（共一項產品）",Healthy Food,AP020A2010524,2024/05/21,2025/05/20,
59,"TCI Co., Ltd. 大江生醫股份有限公司","Nuvanta ForteENZYME (4 g/Sachet, 20 Sachets/Box)無中文品名（共一項
產品）",Healthy Food,AP020A3010524,2024/05/21,2025/05/20,
60,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Food series（Total 6 Items）保健食品系列（共六項產品）,Healthy Food,AP020A4010624,2024/06/03,2025/06/02,
61,"TCI Co., Ltd. 大江生醫股份有限公司","herbsofgold® Cabbage Ezence (15 ml/Sachet, 30 Sachets/Box)（Total 1
Item）
無中文品名（共一項產品）",Healthy Food,AP020A5010624,2024/06/03,2025/06/02,
62,"TCI Co., Ltd. 大江生醫股份有限公司","Tiny Wonders-Kids Omega 3 Liposomal (15 ml/Sachet, 30 Sachets/Box)（
Total
1 Item）無中文品名（共一項產品）",Healthy Food,AP020A6010624,2024/06/03,2025/06/02,
63,"TCI Co., Ltd. 大江生醫股份有限公司","Primanest Vita Probio 11 Syn-Balance (2.5g/Sachet, 15 Sachets/Box)（Total
1
Item）無中文品名（共一項產品）",Healthy Food,AP020A7010524,2024/05/21,2025/05/20,
64,"TCI Co., Ltd. 大江生醫股份有限公司","Pro Collagen Powder premix (Strawberry and Peach) (10 kg/bag, 2 bag/ctn),
Pro
Collagen Powder premix (Pineapple and Grapefruit) (10 kg/bag, 2 bag/ctn).
（
Total 2 Items）無中文品名、無中文品名（共二項產品）",Healthy Food,AP020A8010524,2024/05/21,2025/05/20,
65,"TCI Co., Ltd. 大江生醫股份有限公司","Royale NMN nicotinamide mononucleotide (4 g/Sachets, 30 Sachets/Box)（
Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP020A9010624,2024/06/03,2025/06/02,
66,"TCI Co., Ltd. 大江生醫股份有限公司","VITAHEALTH® V-STYLE PRE-BOOST (25 ml/Sachet, 30 Sachets/Box)
（
Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP020B0010724,2024/07/29,2025/07/28,
67,"TCI Co., Ltd. 大江生醫股份有限公司","Coway Dalton-5 collagen (25 ml/Sachets, 15, 30 Sachets/Box), Coway
Prostair (25 ml/Sachets, 15, 30 Sachets/Box).（Total 2 Items）無中文品名
、無中文品
名（共二項產品）",Healthy Food,AP020B1010724,2024/07/29,2025/07/28,
68,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Food series（Total 5 Items）保健食品系列（共五項產品）,Healthy Food,AP020B2010724,2024/07/29,2025/07/28,
69,"TCI Co., Ltd. 大江生醫股份有限公司","Holistic Way® Bio-Elixir Super Vision Pro Shot (15 ml/Sachets, 10
Sac hets/Box), Holistic Way® Bio-Elixir Super Detox Shot (20 ml/Sachets,
10
Sac hets/Box), Holistic Way® Bio-Elixir Mood Calming Shot (25 ml/Sachets,
10
Sac hets/Box), Holistic Way® Essentials Super Barley Greens (2 g/Sachets,
30
Sachets/Box).（Total 4 Items）無中文品名、無中文品名、無中文品名、
無
中文品名（共四項產品）",Healthy Food,AP020B3010724,2024/07/29,2025/07/28,
70,"TCI Co., Ltd. 大江生醫股份有限公司","Vitaliving Pea Protein Breakfast Powder Mix（Vanilla Flavour）
(25g/Sachets,
30 Sachets/ pouch), Vitaliving Pea Protein Breakfast Powder Mix（
Chocolate
Flavour） (25g/Sachets, 30 Sachets/ pouch).（Total 2 Items）Vitaliving 豌
豆蛋白早餐粉（香草風味） (25g/Sachets, 30 Sachets/ pouch)、Vitaliving
豌豆蛋白早餐粉（可可風味） (25g/Sachets, 30 Sachets/ pouch)（共二項
產品）",Healthy Food,AP020B4010724,2024/07/29,2025/07/28,
71,"TCI Co., Ltd. 大江生醫股份有限公司","Lenetic Ezy Foodie Guava Fruit Chewable Tablet with White Kidney Bean
Extract & Mandarin Orange Extract (90 tablets/bottle, 1 bottle/box), Orisupp
Ezy i-Care Mixed Black Tomato with Marigold Extract Jelly (15 g/Sachet,
10,
15 Sachets/Box), Oriherb Ezy Hairo Botanical Beverage with Apple,
Cranberry and Strawberry (25 ml/Sachet, 10 Sachets/Box).（Total 3 Items）
樂姿樂言食輕鬆白腎豆舞茸錠 (90 tablets/bottle, 1 bottle/box)、優全佳亮
晶葉黃素精華凍 (15 g/Sachet, 10, 15 Sachets/Box)、養固健健發密密飲
(25 ml/Sachet, 10 Sachets/Box)（共三項產品）",Healthy Food,AP020B5010824,2024/08/19,2025/08/18,
72,"TCI Co., Ltd. 大江生醫股份有限公司","Feel® PRO C OLLAGEN Watermelon Flavour (Food Supplement)
(10g/Sachet,
30 Sachets/box)（Total 1 Item）無中文品名（共一項產品）",Healthy Food,AP020B6010724,2024/07/29,2025/07/28,
73,"TCI Co., Ltd. 大江生醫股份有限公司","Dep Joyful TD Drink (20 ml/Sachet, 15 Sachets/box)（Total 1 Item）無中
文品
名（共一項產品）",Healthy Food,AP020B7010924,2024/09/23,2026/09/22,
74,"TCI Co., Ltd. 大江生醫股份有限公司","coralclub, Promarine Collagen Tripeptides (50 ml/bottle,10 bottles/box)（
Total 1
Item）無中文名稱（共一項產品）",Healthy Food,AP020B8011024,2024/10/28,2025/10/27,
75,"TCI Co., Ltd. 大江生醫股份有限公司",Functional Foods series（Total 4 Items）保健食品系列（共四項產品）,Healthy Food,AP020B9010125,2025/01/13,2026/01/12,
